DWHName,IncomingFileName,FriendlyName,FileType,Affiliate,Brand,Data Granularity,Data Owner,Vendor Name,VendorContact,Source System Name,PullType,Data Business Owner,Data Technical Owner,Data Type,SubDataType,Data Set Description,File Location,LocatedIn,File Current Status,Deactivation Date,Reason For Deactivation,When is the File Sent,Load Frequency,File Pre Processed,Landing Zone Table Name,Transformation Layer Table Name,Reporting Layer table Name,Comment
Japan Datawarehouse,All Brands_171_Engagement_weekly,All Brands 171 Engagement Weekly,csv,Turkey,All Brands,"Revenue, Region, Engagement, HCP",Sridhar,IQVIA,iqvia768@iqvia.com,SAP BW,Automated,smith@dr.com727@company.com,johanna@dr.com561@iqvia.com,Engagement Data,Campaign Metrics,"Contains engagement data for All Brands in Turkey, with fields: hcp, revenue.",gcs/engagement/allbrands/turkey/,gcs,Active,,,End of Quarter,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,Backfill required for last 3 months
US Datawarehouse,Diab_1_172_Engagement_daily,Diab 1 172 Engagement Daily,csv,Turkey,Diab_1,"Country, TA, Price",Sridhar,IQVIA,iqvia427@iqvia.com,Oracle EBS,Automated,miguel828@iqvia.com,johanna@dr.com413@veeva.com,Engagement Data,Product Inventory Snapshot,"Contains engagement data for Diab_1 in Turkey, with fields: hcp, ta, engagement.",s3/engagement/diab_1/turkey/,s3,Inactive,02/20/2025,Contract expired on 02/20/2025,End of Quarter,Daily,Yes,diab_1_turkey_engagement_z,diab_1_engagement_daily_xform,diab_1_engagement_turkey_metri_rpt,Schema change expected next quarter
US Datawarehouse,Diab_1_173_Engagement_qtr,Diab 1 173 Engagement Qtr,csv,Japan,Diab_1,"Region, Volume, Engagement, HCP",Ananya,Veeva,veeva107@company.com,Veeva CRM,Manual,smith@dr.com776@company.com,johanna843@iqvia.com,Engagement Data,Campaign Metrics,"Contains engagement data for Diab_1 in Japan, with fields: price, rep.",s3/engagement/diab_1/japan/,s3,Inactive,02/24/2024,Contract expired on 02/24/2024,Monthly,Quarterly,Yes,diab_1_japan_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_japan_metric_rpt,New processing pipeline in progress
EU Datawarehouse,Dermalix_174_Sales_weekly,Dermalix 174 Sales Weekly,psv,US,Dermalix,"Price, Units, Brand",Lakshya Mishra,Snowflake External,snowflake503@veeva.com,Veeva CRM,Manual,smith@dr.com467@vendor.net,johanna@dr.com583@dr.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for Dermalix in US, with fields: hcp, volume, rep, region.",gcs/sales/dermalix/us/,s3,Active,,,Middle of month,Weekly,No,dermalix_us_sales_z,dermalix_sales_weekly_xform,dermalix_sales_us_metrics_rpt,This file is set to expire by end of 2025
Global Datawarehouse,Diab_1_175_Sales_qtr,Diab 1 175 Sales Qtr,csv,US,Diab_1,"HCP, Region, Price",Lakshya Mishra,IQVIA,iqvia935@vendor.net,IQVIA,Manual,jones@dr.com235@dr.com,johanna@dr.com191@veeva.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in US, with fields: ta, engagement.",adls/sales/diab_1/us/,adls,Active,,,End of Quarter,Quarterly,Yes,diab_1_us_sales_z,diab_1_sales_quarterly_xform,diab_1_sales_us_metrics_rpt,PII masked at source
US Datawarehouse,Dermalix_176_Claims_weekly,Dermalix 176 Claims Weekly,psv,China,Dermalix,"Price, Rep, Volume, TA",Lakshya Mishra,Veeva,veeva890@veeva.com,IQVIA,Manual,smith@dr.com381@company.com,miguel697@company.com,Claims Data,Weekly Rep HCP Engagement Data,"Contains claims data for Dermalix in China, with fields: volume, ta, rep, revenue.",s3/claims/dermalix/china/,s3,Inactive,01/26/2023,Contract expired on 01/26/2023,Monthly,Weekly,No,dermalix_china_claims_z,dermalix_claims_weekly_xform,dermalix_claims_china_metrics_rpt,New processing pipeline in progress
Japan Datawarehouse,All Brands_177_Engagement_daily,All Brands 177 Engagement Daily,psv,US,All Brands,"Revenue, HCP, Country, TA",Lakshya Mishra,Veeva,veeva848@iqvia.com,IQVIA,Manual,smith@dr.com503@company.com,akira303@dr.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: revenue, hcp.",adls/engagement/allbrands/us/,s3,Inactive,03/22/2023,Contract expired on 03/22/2023,End of Quarter,Daily,Yes,all_brands_us_engagement_z,all_brands_engagement_daily_xform,all_brands_engagement_us_metri_rpt,New processing pipeline in progress
Global Datawarehouse,All Brands_178_Engagement_weekly,All Brands 178 Engagement Weekly,json,US,All Brands,"Brand, Country, Region, Price, Rep",Maria,IQVIA,iqvia666@dr.com,IQVIA,Manual,sridhar870@veeva.com,miguel95@company.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for All Brands in US, with fields: region, rep.",s3/engagement/allbrands/us/,s3,Inactive,10/31/2024,Contract expired on 10/31/2024,Beginning of week,Weekly,Yes,all_brands_us_engagement_z,all_brands_engagement_weekly_xform,,This file is set to expire by end of 2025
Global Datawarehouse,CardioX_179_Sales_weekly,Cardiox 179 Sales Weekly,csv,Turkey,CardioX,"TA, Brand, Country, Price",Sridhar,IQVIA,iqvia855@iqvia.com,Salesforce,Automated,jones@dr.com498@company.com,johanna@dr.com665@veeva.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for CardioX in Turkey, with fields: volume, revenue, engagement, price.",gcs/sales/cardiox/turkey/,gcs,Active,,,Beginning of week,Weekly,No,cardiox_turkey_sales_z,cardiox_sales_weekly_xform,cardiox_sales_turkey_metrics_rpt,This file is set to expire by end of 2025
APAC Datawarehouse,Diab_1_180_Sales_weekly,Diab 1 180 Sales Weekly,xlsx,Turkey,Diab_1,"Country, Engagement, Units, Rep",Lakshya Mishra,IQVIA,iqvia114@veeva.com,Veeva CRM,Automated,miguel783@dr.com,maria508@iqvia.com,Sales Data,Monthly Claims Summary,"Contains sales data for Diab_1 in Turkey, with fields: price, hcp, ta, region.",s3/sales/diab_1/turkey/,gcs,Inactive,03/17/2025,Contract expired on 03/17/2025,End of Quarter,Weekly,No,diab_1_turkey_sales_z,diab_1_sales_weekly_xform,diab_1_sales_turkey_metrics_rpt,Schema change expected next quarter
Japan Datawarehouse,All Brands_181_Engagement_weekly,All Brands 181 Engagement Weekly,psv,Turkey,All Brands,"Price, Region, Volume, Revenue",Sridhar,Snowflake External,snowflake560@dr.com,Veeva CRM,Manual,jones@dr.com97@veeva.com,jones336@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Turkey, with fields: volume, engagement, price.",adls/engagement/allbrands/turkey/,s3,Active,,,Monthly,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,This file is set to expire by end of 2025
US Datawarehouse,Dermalix_182_Sales_weekly,Dermalix 182 Sales Weekly,csv,US,Dermalix,"Engagement, Country, Price, Region",Lakshya Mishra,IQVIA,iqvia354@iqvia.com,Veeva CRM,Manual,smith@dr.com204@veeva.com,johanna486@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for Dermalix in US, with fields: rep, price, ta, region.",adls/sales/dermalix/us/,s3,Active,,,End of Quarter,Weekly,Yes,dermalix_us_sales_z,dermalix_sales_weekly_xform,,PII masked at source
Global Datawarehouse,OncoPro_183_Sales_qtr,Oncopro 183 Sales Qtr,tsv,US,OncoPro,"TA, Country, HCP",Sridhar,Veeva,veeva953@iqvia.com,Workday,Automated,smith@dr.com8@iqvia.com,johanna@dr.com563@dr.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for OncoPro in US, with fields: rep, ta.",adls/sales/oncopro/us/,s3,Active,,,Middle of month,Quarterly,No,oncopro_us_sales_z,oncopro_sales_quarterly_xform,oncopro_sales_us_metrics_rpt,Backfill required for last 3 months
US Datawarehouse,Respira_184_Engagement_qtr,Respira 184 Engagement Qtr,csv,US,Respira,"HCP, Volume, Units",Lakshya Mishra,Veeva,veeva378@company.com,IQVIA,Automated,jones@dr.com917@veeva.com,johanna@dr.com317@veeva.com,Engagement Data,Campaign Metrics,"Contains engagement data for Respira in US, with fields: region, rep, engagement, hcp.",s3/engagement/respira/us/,s3,Active,,,Monthly,Quarterly,Yes,respira_us_engagement_z,respira_engagement_quarterly_xform,respira_engagement_us_metrics_rpt,Backfill required for last 3 months
LATAM Datawarehouse,Diab_1_185_Sales_monthly,Diab 1 185 Sales Monthly,csv,US,Diab_1,"Rep, Units, Brand, Volume, Country",Chen,IQVIA,iqvia159@dr.com,IQVIA,Manual,smith@dr.com570@company.com,johanna@dr.com176@company.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in US, with fields: ta, price.",gcs/sales/diab_1/us/,gcs,Active,,,End of week,Monthly,Yes,diab_1_us_sales_z,diab_1_sales_monthly_xform,,Backfill required for last 3 months
Japan Datawarehouse,OncoPro_186_Engagement_weekly,Oncopro 186 Engagement Weekly,xlsx,Italy,OncoPro,"Region, HCP, Units, Brand, Rep",Chen,Veeva,veeva972@iqvia.com,IQVIA,Automated,jones@dr.com812@dr.com,johanna@dr.com787@dr.com,Engagement Data,Regional Sales Data,"Contains engagement data for OncoPro in Italy, with fields: rep, price, engagement, hcp.",gcs/engagement/oncopro/italy/,s3,Inactive,03/13/2023,Contract expired on 03/13/2023,Middle of month,Weekly,No,oncopro_italy_engagement_z,oncopro_engagement_weekly_xform,oncopro_engagement_italy_metri_rpt,Backfill required for last 3 months
Japan Datawarehouse,NeuroMax_187_Sales_qtr,Neuromax 187 Sales Qtr,parquet,US,NeuroMax,"Engagement, HCP, Country",Lakshya Mishra,IQVIA,iqvia839@veeva.com,Oracle EBS,Manual,ananya620@vendor.net,johanna@dr.com398@dr.com,Sales Data,Regional Sales Data,"Contains sales data for NeuroMax in US, with fields: price, ta.",adls/sales/neuromax/us/,s3,Inactive,02/02/2024,Contract expired on 02/02/2024,Middle of month,Quarterly,Yes,neuromax_us_sales_z,neuromax_sales_quarterly_xform,neuromax_sales_us_metrics_rpt,PII masked at source
Japan Datawarehouse,All Brands_188_Sales_monthly,All Brands 188 Sales Monthly,csv,Turkey,All Brands,"Region, Price, Brand, Country, Volume",Lakshya Mishra,Veeva,veeva870@dr.com,Veeva CRM,Manual,johanna221@vendor.net,jones437@veeva.com,Sales Data,Campaign Metrics,"Contains sales data for All Brands in Turkey, with fields: hcp, revenue, engagement.",gcs/sales/allbrands/turkey/,s3,Active,,,End of Quarter,Monthly,No,all_brands_turkey_sales_z,all_brands_sales_monthly_xform,,Schema change expected next quarter
Japan Datawarehouse,All Brands_189_Engagement_qtr,All Brands 189 Engagement Qtr,csv,Japan,All Brands,"Price, HCP, Rep, TA",Lakshya Mishra,IMS Health,ims348@iqvia.com,Salesforce,Manual,smith@dr.com234@vendor.net,johanna@dr.com44@iqvia.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Japan, with fields: revenue, price, engagement, rep.",s3/engagement/allbrands/japan/,s3,Active,,,Beginning of week,Quarterly,Yes,all_brands_japan_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_japan_me_rpt,PII masked at source
LATAM Datawarehouse,Diab_1_190_Engagement_qtr,Diab 1 190 Engagement Qtr,psv,Turkey,Diab_1,"Volume, Engagement, Rep",Lakshya Mishra,Veeva,veeva378@company.com,IQVIA,API Pull,smith@dr.com164@company.com,johanna@dr.com573@iqvia.com,Engagement Data,Campaign Metrics,"Contains engagement data for Diab_1 in Turkey, with fields: volume, revenue, region, engagement.",gcs/engagement/diab_1/turkey/,s3,Inactive,01/08/2024,Contract expired on 01/08/2024,End of Quarter,Quarterly,Yes,diab_1_turkey_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_turkey_metri_rpt,Backfill required for last 3 months
Japan Datawarehouse,All Brands_191_Sales_weekly,All Brands 191 Sales Weekly,csv,US,All Brands,"Units, Country, Revenue, Price",Smith,IQVIA,iqvia554@company.com,SAP BW,Manual,smith@dr.com317@company.com,chen565@company.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for All Brands in US, with fields: hcp, engagement, ta.",s3/sales/allbrands/us/,s3,Inactive,10/04/2023,Contract expired on 10/04/2023,End of Quarter,Weekly,Yes,all_brands_us_sales_z,all_brands_sales_weekly_xform,all_brands_sales_us_metrics_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,Respira_192_Sales_weekly,Respira 192 Sales Weekly,csv,US,Respira,"Rep, Brand, Revenue, TA, Volume",Ananya,AWS Data Exchange,aws393@company.com,Veeva CRM,Manual,jones@dr.com668@veeva.com,johanna@dr.com594@dr.com,Sales Data,Regional Sales Data,"Contains sales data for Respira in US, with fields: price, region, engagement, hcp.",gcs/sales/respira/us/,gcs,Inactive,06/14/2023,Contract expired on 06/14/2023,Beginning of week,Weekly,Yes,respira_us_sales_z,respira_sales_weekly_xform,,New processing pipeline in progress
Japan Datawarehouse,All Brands_193_Engagement_weekly,All Brands 193 Engagement Weekly,xlsx,Turkey,All Brands,"HCP, Units, Region",Sridhar,Veeva,veeva771@dr.com,IQVIA,Automated,smith@dr.com658@company.com,chen572@veeva.com,Engagement Data,Monthly Claims Summary,"Contains engagement data for All Brands in Turkey, with fields: hcp, region, rep.",adls/engagement/allbrands/turkey/,s3,Deprecated,04/21/2023,Replaced by new pipeline on 04/21/2023,Beginning of week,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,Backfill required for last 3 months
Global Datawarehouse,Diab_1_194_Sales_weekly,Diab 1 194 Sales Weekly,csv,Turkey,Diab_1,"Price, TA, Region, Rep",Lakshya Mishra,Snowflake External,snowflake522@dr.com,Veeva CRM,Automated,johanna678@vendor.net,johanna@dr.com783@veeva.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in Turkey, with fields: hcp, price, ta, region.",gcs/sales/diab_1/turkey/,s3,Inactive,01/28/2023,Contract expired on 01/28/2023,End of week,Weekly,No,diab_1_turkey_sales_z,diab_1_sales_weekly_xform,diab_1_sales_turkey_metrics_rpt,Backfill required for last 3 months
Global Datawarehouse,CardioX_195_Marketing_weekly,Cardiox 195 Marketing Weekly,csv,US,CardioX,"Engagement, Brand, Rep",Sridhar,Veeva,veeva117@dr.com,SAP BW,SFTP Drop,jones@dr.com874@dr.com,johanna@dr.com968@iqvia.com,Marketing Data,Monthly Claims Summary,"Contains marketing data for CardioX in US, with fields: engagement, revenue, ta, price.",gcs/marketing/cardiox/us/,s3,Inactive,03/31/2024,Contract expired on 03/31/2024,Beginning of week,Weekly,No,cardiox_us_marketing_z,cardiox_marketing_weekly_xform,cardiox_marketing_us_metrics_rpt,New processing pipeline in progress
EU Datawarehouse,Diab_1_196_Engagement_qtr,Diab 1 196 Engagement Qtr,psv,Turkey,Diab_1,"HCP, Brand, Volume, Country",Maria,Veeva,veeva409@vendor.net,IQVIA,Automated,jones@dr.com158@company.com,johanna@dr.com159@iqvia.com,Engagement Data,Product Inventory Snapshot,"Contains engagement data for Diab_1 in Turkey, with fields: region, hcp, price, volume.",s3/engagement/diab_1/turkey/,s3,Inactive,08/07/2024,Contract expired on 08/07/2024,End of Month,Quarterly,Yes,diab_1_turkey_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_turkey_metri_rpt,Schema change expected next quarter
US Datawarehouse,Diab_1_197_Engagement_weekly,Diab 1 197 Engagement Weekly,csv,Brazil,Diab_1,"Volume, Country, Rep",Akira,Veeva,veeva88@company.com,Oracle EBS,Automated,smith@dr.com14@vendor.net,akira937@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in Brazil, with fields: region, volume, ta, rep.",s3/engagement/diab_1/brazil/,s3,Active,,,Beginning of week,Weekly,No,diab_1_brazil_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_brazil_metri_rpt,PII masked at source
Japan Datawarehouse,All Brands_198_Engagement_weekly,All Brands 198 Engagement Weekly,psv,US,All Brands,"Region, Country, Units, Engagement",Lakshya Mishra,Veeva,veeva531@company.com,IQVIA,Automated,akira942@iqvia.com,johanna@dr.com606@dr.com,Engagement Data,Campaign Metrics,"Contains engagement data for All Brands in US, with fields: rep, price.",gcs/engagement/allbrands/us/,adls,Active,,,End of Quarter,Weekly,Yes,all_brands_us_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_us_metri_rpt,PII masked at source
Japan Datawarehouse,All Brands_199_Engagement_weekly,All Brands 199 Engagement Weekly,csv,Turkey,All Brands,"Region, HCP, TA, Units",Lakshya Mishra,IQVIA,iqvia311@company.com,Veeva CRM,Automated,jones@dr.com953@veeva.com,smith653@dr.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Turkey, with fields: hcp, ta, rep.",gcs/engagement/allbrands/turkey/,s3,Pilot,,,Beginning of week,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,,Backfill required for last 3 months
Global Datawarehouse,All Brands_200_Sales_qtr,All Brands 200 Sales Qtr,psv,Turkey,All Brands,"Region, Brand, Price, HCP",Ananya,IQVIA,iqvia133@vendor.net,Veeva CRM,Manual,miguel540@veeva.com,johanna@dr.com84@iqvia.com,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Turkey, with fields: price, region, volume.",s3/sales/allbrands/turkey/,s3,Inactive,02/13/2024,Contract expired on 02/13/2024,End of Quarter,Quarterly,Yes,all_brands_turkey_sales_z,all_brands_sales_quarterly_xform,all_brands_sales_turkey_metric_rpt,New processing pipeline in progress
Japan Datawarehouse,Diab_1_201_Engagement_qtr,Diab 1 201 Engagement Qtr,psv,US,Diab_1,"Brand, Engagement, Price, Rep, Country",Sridhar,Veeva,veeva897@vendor.net,IQVIA,Automated,smith@dr.com691@vendor.net,johanna@dr.com132@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in US, with fields: revenue, volume, hcp, ta.",s3/engagement/diab_1/us/,s3,Active,,,End of week,Quarterly,Yes,diab_1_us_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_us_metrics_rpt,PII masked at source
Global Datawarehouse,Diab_1_202_Engagement_qtr,Diab 1 202 Engagement Qtr,psv,US,Diab_1,"Volume, Brand, Price, Engagement",Lakshya Mishra,Veeva,veeva531@iqvia.com,IQVIA,Manual,jones@dr.com317@company.com,johanna@dr.com106@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in US, with fields: engagement, volume.",adls/engagement/diab_1/us/,gcs,Active,,,End of Quarter,Quarterly,No,diab_1_us_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_us_metrics_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,All Brands_203_Engagement_qtr,All Brands 203 Engagement Qtr,psv,US,All Brands,"Country, Volume, Units, HCP",Sridhar,IMS Health,ims719@iqvia.com,Oracle EBS,API Pull,jones@dr.com377@vendor.net,miguel855@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: revenue, ta, rep.",gcs/engagement/allbrands/us/,s3,Inactive,04/30/2023,Contract expired on 04/30/2023,Middle of month,Quarterly,No,all_brands_us_engagement_z,all_brands_engagement_quarterl_xform,all_brands_engagement_us_metri_rpt,PII masked at source
Japan Datawarehouse,Respira_204_Sales_weekly,Respira 204 Sales Weekly,json,US,Respira,"Price, Units, Rep, Volume, TA",Lakshya Mishra,Veeva,veeva858@company.com,Oracle EBS,API Pull,maria721@iqvia.com,johanna@dr.com68@vendor.net,Sales Data,Regional Sales Data,"Contains sales data for Respira in US, with fields: ta, rep, region.",adls/sales/respira/us/,s3,Active,,,End of Month,Weekly,Yes,respira_us_sales_z,respira_sales_weekly_xform,respira_sales_us_metrics_rpt,Backfill required for last 3 months
US Datawarehouse,All Brands_205_Sales_daily,All Brands 205 Sales Daily,xlsx,Brazil,All Brands,"HCP, Country, Price",Sridhar,IQVIA,iqvia62@dr.com,IQVIA,Manual,smith@dr.com273@vendor.net,johanna@dr.com20@dr.com,Sales Data,Regional Sales Data,"Contains sales data for All Brands in Brazil, with fields: revenue, engagement, rep.",s3/sales/allbrands/brazil/,adls,Inactive,02/16/2023,Contract expired on 02/16/2023,End of Quarter,Daily,No,all_brands_brazil_sales_z,all_brands_sales_daily_xform,all_brands_sales_brazil_metric_rpt,Schema change expected next quarter
Global Datawarehouse,Dermalix_206_Engagement_qtr,Dermalix 206 Engagement Qtr,tsv,Canada,Dermalix,"Revenue, Country, Price, TA, Engagement",Johanna,Veeva,veeva536@dr.com,Netsuite,Automated,smith@dr.com851@vendor.net,johanna@dr.com428@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for Dermalix in Canada, with fields: revenue, price, rep, engagement.",gcs/engagement/dermalix/canada/,s3,Active,,,Monthly,Quarterly,Yes,dermalix_canada_engagement_z,dermalix_engagement_quarterly_xform,dermalix_engagement_canada_met_rpt,Schema change expected next quarter
Japan Datawarehouse,All Brands_207_Engagement_weekly,All Brands 207 Engagement Weekly,csv,US,All Brands,"Brand, Volume, Region, HCP, Engagement",Ananya,Veeva,veeva259@veeva.com,SAP BW,Manual,smith@dr.com463@iqvia.com,johanna@dr.com128@dr.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in US, with fields: ta, region.",adls/engagement/allbrands/us/,gcs,Active,,,Beginning of week,Weekly,No,all_brands_us_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_us_metri_rpt,Backfill required for last 3 months
US Datawarehouse,All Brands_208_Sales_qtr,All Brands 208 Sales Qtr,psv,US,All Brands,"Units, Country, Price, Rep",Sridhar,IQVIA,iqvia640@vendor.net,IQVIA,Manual,miguel294@dr.com,johanna@dr.com513@iqvia.com,Sales Data,Weekly Rep HCP Engagement Data,"Contains sales data for All Brands in US, with fields: rep, region, volume.",adls/sales/allbrands/us/,s3,Inactive,04/25/2023,Contract expired on 04/25/2023,Monthly,Quarterly,No,all_brands_us_sales_z,all_brands_sales_quarterly_xform,all_brands_sales_us_metrics_rpt,New processing pipeline in progress
Global Datawarehouse,All Brands_209_Engagement_monthly,All Brands 209 Engagement Monthly,csv,Turkey,All Brands,"Volume, Country, Price",Lakshya Mishra,Veeva,veeva442@iqvia.com,Veeva CRM,Manual,maria956@dr.com,johanna@dr.com876@veeva.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Turkey, with fields: region, revenue, ta, rep.",adls/engagement/allbrands/turkey/,s3,Active,,,Beginning of week,Monthly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_monthly_xform,all_brands_engagement_turkey_m_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,Diab_1_210_Sales_qtr,Diab 1 210 Sales Qtr,psv,US,Diab_1,"Country, Brand, HCP, TA, Price",Lakshya Mishra,IQVIA,iqvia176@dr.com,IQVIA,SFTP Drop,jones@dr.com426@dr.com,johanna@dr.com603@dr.com,Sales Data,Regional Sales Data,"Contains sales data for Diab_1 in US, with fields: hcp, ta, engagement.",adls/sales/diab_1/us/,s3,Active,,,Monthly,Quarterly,No,diab_1_us_sales_z,diab_1_sales_quarterly_xform,,PII masked at source
APAC Datawarehouse,All Brands_211_Engagement_weekly,All Brands 211 Engagement Weekly,psv,Turkey,All Brands,"Volume, Brand, Units",Sridhar,IQVIA,iqvia112@veeva.com,Oracle EBS,Automated,jones@dr.com703@company.com,johanna@dr.com13@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Turkey, with fields: price, ta, region, hcp.",s3/engagement/allbrands/turkey/,s3,Inactive,06/26/2024,Contract expired on 06/26/2024,End of Quarter,Weekly,Yes,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,,This file is set to expire by end of 2025
Global Datawarehouse,Diab_1_212_Engagement_qtr,Diab 1 212 Engagement Qtr,json,US,Diab_1,"Engagement, Revenue, Region, Country, Brand",Sridhar,AWS Data Exchange,aws343@iqvia.com,Workday,SFTP Drop,smith@dr.com750@company.com,ananya16@vendor.net,Engagement Data,Regional Sales Data,"Contains engagement data for Diab_1 in US, with fields: revenue, volume, region, rep.",adls/engagement/diab_1/us/,s3,Deprecated,01/12/2023,Replaced by new pipeline on 01/12/2023,Middle of month,Quarterly,No,diab_1_us_engagement_z,diab_1_engagement_quarterly_xform,diab_1_engagement_us_metrics_rpt,This file is set to expire by end of 2025
Japan Datawarehouse,All Brands_213_Sales_qtr,All Brands 213 Sales Qtr,psv,Turkey,All Brands,"Country, Region, Rep, HCP, Volume",Lakshya Mishra,IQVIA,iqvia493@vendor.net,IQVIA,Automated,miguel35@dr.com,jones944@iqvia.com,Sales Data,Product Inventory Snapshot,"Contains sales data for All Brands in Turkey, with fields: revenue, region, ta.",s3/sales/allbrands/turkey/,s3,Inactive,03/08/2025,Contract expired on 03/08/2025,End of Quarter,Quarterly,No,all_brands_turkey_sales_z,all_brands_sales_quarterly_xform,all_brands_sales_turkey_metric_rpt,Backfill required for last 3 months
US Datawarehouse,Diab_1_214_Engagement_weekly,Diab 1 214 Engagement Weekly,xlsx,US,Diab_1,"Region, Price, Engagement, Country",Lakshya Mishra,IQVIA,iqvia597@dr.com,Veeva CRM,Automated,smith@dr.com809@dr.com,johanna@dr.com213@vendor.net,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for Diab_1 in US, with fields: price, rep, revenue.",adls/engagement/diab_1/us/,s3,Inactive,01/11/2024,Contract expired on 01/11/2024,End of week,Weekly,No,diab_1_us_engagement_z,diab_1_engagement_weekly_xform,diab_1_engagement_us_metrics_rpt,Schema change expected next quarter
Japan Datawarehouse,Diab_1_215_Inventory_weekly,Diab 1 215 Inventory Weekly,psv,UK,Diab_1,"Rep, HCP, Region",Lakshya Mishra,IMS Health,ims787@iqvia.com,IQVIA,Automated,johanna379@company.com,johanna@dr.com173@dr.com,Inventory Data,Regional Sales Data,"Contains inventory data for Diab_1 in UK, with fields: engagement, price, revenue, rep.",gcs/inventory/diab_1/uk/,gcs,Active,,,End of week,Weekly,Yes,diab_1_uk_inventory_z,diab_1_inventory_weekly_xform,diab_1_inventory_uk_metrics_rpt,PII masked at source
Japan Datawarehouse,All Brands_216_Sales_weekly,All Brands 216 Sales Weekly,psv,Turkey,All Brands,"Brand, Volume, Rep, Price",Lakshya Mishra,Veeva,veeva595@vendor.net,Veeva CRM,API Pull,johanna507@veeva.com,johanna@dr.com470@vendor.net,Sales Data,Campaign Metrics,"Contains sales data for All Brands in Turkey, with fields: volume, region.",gcs/sales/allbrands/turkey/,s3,Inactive,08/29/2023,Contract expired on 08/29/2023,End of Quarter,Weekly,No,all_brands_turkey_sales_z,all_brands_sales_weekly_xform,,PII masked at source
US Datawarehouse,All Brands_217_Engagement_weekly,All Brands 217 Engagement Weekly,psv,Brazil,All Brands,"Brand, HCP, Region",Sridhar,Veeva,veeva6@vendor.net,IQVIA,Automated,smith@dr.com307@company.com,johanna@dr.com327@company.com,Engagement Data,Regional Sales Data,"Contains engagement data for All Brands in Brazil, with fields: hcp, region, engagement.",adls/engagement/allbrands/brazil/,s3,Active,,,End of week,Weekly,Yes,all_brands_brazil_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_brazil_m_rpt,PII masked at source
Japan Datawarehouse,All Brands_218_Engagement_weekly,All Brands 218 Engagement Weekly,psv,Turkey,All Brands,"Region, Country, Price, Brand, HCP",Chen,Veeva,veeva393@company.com,Veeva CRM,API Pull,smith@dr.com119@iqvia.com,johanna@dr.com399@veeva.com,Engagement Data,Weekly Rep HCP Engagement Data,"Contains engagement data for All Brands in Turkey, with fields: rep, price, revenue.",gcs/engagement/allbrands/turkey/,s3,Active,,,Monthly,Weekly,No,all_brands_turkey_engagement_z,all_brands_engagement_weekly_xform,all_brands_engagement_turkey_m_rpt,Schema change expected next quarter
